OBJECTID,shape_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,Shape__Length
312,119715,15677,24,McAfee / Hosea Williams,,3,https://itsmarta.com/24.aspx,FF00FF,,Bus,0.23635698876839
313,119716,15687,40,Peachtree Street / Downtown,,3,https://itsmarta.com/40.aspx,FFFF00,,Bus,0.084733741684075
314,119717,15695,60,Hightower Road,,3,https://itsmarta.com/60.aspx,00FFFF,,Bus,0.0948065563860935
315,119718,15716,103,Peeler Road,,3,https://itsmarta.com/103.aspx,00FFFF,,Bus,0.137289403722927
316,119719,15709,86,Fairington Road,,3,https://itsmarta.com/86.aspx,A6CAF0,,Bus,0.246953797068558
317,119720,15713,94,Northside Drive,,3,https://itsmarta.com/94.aspx,008000,,Bus,0.103661291216927
318,119721,15772,809,Monroe Drive / Boulevard,,3,https://itsmarta.com/809.aspx,FF0000,,Bus,0.0903559128420221
319,119722,15774,816,North Highland Avenue,,3,https://itsmarta.com/816.aspx,00FFFF,,Bus,0.127969011837241
320,119723,15672,12,Howell Mill Road / Cumberland,,3,https://itsmarta.com/12.aspx,FF00FF,,Bus,0.137173751856679
321,119724,15672,12,Howell Mill Road / Cumberland,,3,https://itsmarta.com/12.aspx,FF00FF,,Bus,0.175590390106908
322,119725,15689,47,I-85 Access Road,,3,https://itsmarta.com/47.aspx,FF8080,,Bus,0.16344720337674
323,119726,15697,68,Benjamin E Mays Drive,,3,https://itsmarta.com/68.aspx,FF0000,,Bus,0.0626981654204073
324,119727,15704,81,Venetian Hills / Delowe Drive,,3,https://itsmarta.com/81.aspx,00FF00,,Bus,0.188247460891355
325,119728,15755,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,,Bus,0.313995758791653
326,119729,15758,196,Upper Riverdale / Southlake,,3,https://itsmarta.com/196.aspx,00FFFF,,Bus,0.248559540270656
327,119730,15698,71,Cascade Road,,3,https://itsmarta.com/71.aspx,FF8080,,Bus,0.124495050228969
328,119731,15721,114,Columbia Drive,,3,https://itsmarta.com/114.aspx,FF8040,,Bus,0.137428121339678
329,119732,15747,181,Washington Road / Fairburn,,3,https://itsmarta.com/181.aspx,FF8040,,Bus,0.242464553837751
330,119733,15753,191,Riverdale / ATL Intl Terminal,,3,https://itsmarta.com/191.aspx,FF00FF,,Bus,0.380336160213111
331,119734,15711,89,Old National Highway,,3,https://itsmarta.com/89.aspx,FF8040,,Bus,0.204975297058756
332,119735,15727,121,Memorial Drive / N Hairston Road,,3,https://itsmarta.com/121.aspx,00FFFF,,Bus,0.158085217940113
333,119736,15730,125,Clarkston,,3,https://itsmarta.com/125.aspx,008000,,Bus,0.136777556169547
334,119737,15730,125,Clarkston,,3,https://itsmarta.com/125.aspx,008000,,Bus,0.136460784597494
335,119738,15785,ATLSC,Atlanta Streetcar,,0,https://itsmarta.com/Atlanta-Street-Car-Info.aspx,FF00FF,,"Tram, Streetcar, Light rail",0.0272423668847698
336,119739,15676,21,Memorial Drive,,3,https://itsmarta.com/21.aspx,FF00FF,,Bus,0.0878188341860986
337,119740,15694,58,Hollywood Road / Lucile Avenue,,3,https://itsmarta.com/58.aspx,A6CAF0,,Bus,0.141684106225919
338,119741,15704,81,Venetian Hills / Delowe Drive,,3,https://itsmarta.com/81.aspx,00FF00,,Bus,0.184410345230942
339,119742,15755,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,,Bus,0.346728966603484
340,119743,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.11298287682942
341,119744,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.100928489290213
342,119745,15760,221,Memorial Drive Limited,,3,https://itsmarta.com/221.aspx,FF00FF,,Bus,0.0862308206714103
343,119746,15778,850,Carroll Heights / Fairburn Heights,,3,https://itsmarta.com/850.aspx,FF00FF,,Bus,0.0879618345414692
344,119747,15668,5,Piedmont Road / Sandy Springs,,3,https://itsmarta.com/5.aspx,00FFFF,,Bus,0.151978273109345
345,119748,15691,50,Donald Lee Hollowell Parkway,,3,https://itsmarta.com/50.aspx,00FF00,,Bus,0.132181165944208
346,119749,15693,55,Jonesboro Road,,3,https://itsmarta.com/55.aspx,FF8000,,Bus,0.217200520116644
347,119750,15705,82,Camp Creek / South Fulton Parkway,,3,https://itsmarta.com/82.aspx,008000,,Bus,0.0845556550707471
348,119751,15712,93,Headland Drive / Main Street,,3,https://itsmarta.com/93.aspx,00FFFF,,Bus,0.146087393629491
349,119752,15720,111,Snapfinger Woods,,3,https://itsmarta.com/111.aspx,008000,,Bus,0.29474743276815
350,119753,15741,155,Pittsburgh,,3,https://itsmarta.com/155.aspx,00FFFF,,Bus,0.10342478665629
351,119754,15679,26,Marietta Street / Perry Boulevard,,3,https://itsmarta.com/26.aspx,008080,,Bus,0.15736366979074
352,119755,15697,68,Benjamin E Mays Drive,,3,https://itsmarta.com/68.aspx,FF0000,,Bus,0.179270228229482
353,119756,15738,148,Mount Vernon Highway,,3,https://itsmarta.com/148.aspx,00FF00,,Bus,0.115698537551748
354,119757,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.11298287682942
355,119758,15669,6,Clifton Road / Emory,,3,https://itsmarta.com/6.aspx,008080,,Bus,0.141948553405372
356,119759,15672,12,Howell Mill Road / Cumberland,,3,https://itsmarta.com/12.aspx,FF00FF,,Bus,0.147962944911097
357,119760,15691,50,Donald Lee Hollowell Parkway,,3,https://itsmarta.com/50.aspx,00FF00,,Bus,0.13112873679472
358,119761,15699,73,Fulton Industrial,,3,https://itsmarta.com/73.aspx,008000,,Bus,0.177934197042291
359,119762,15734,140,North Point Parkway,,3,https://itsmarta.com/140.aspx,FF8000,,Bus,0.203578420757634
360,119763,15737,143,Windward Park & Ride,,3,https://itsmarta.com/143.aspx,00FFFF,,Bus,0.277978159506869
361,119764,15792,197,Southlake Parkway,,3,https://itsmarta.com/197.aspx,FF00FF,,Bus,0.205733523676627
362,119765,15667,4,Moreland Avenue,,3,https://itsmarta.com/4.aspx,FF00FF,,Bus,0.0981673490324845
363,119766,15672,12,Howell Mill Road / Cumberland,,3,https://itsmarta.com/12.aspx,FF00FF,,Bus,0.16898657736663
364,119767,15679,26,Marietta Street / Perry Boulevard,,3,https://itsmarta.com/26.aspx,008080,,Bus,0.156334238055886
365,119768,15693,55,Jonesboro Road,,3,https://itsmarta.com/55.aspx,FF8000,,Bus,0.128339639050344
366,119769,15699,73,Fulton Industrial,,3,https://itsmarta.com/73.aspx,008000,,Bus,0.189713461375851
367,119770,15702,78,Cleveland Avenue,,3,https://itsmarta.com/78.aspx,00FF00,,Bus,0.0966728203101626
368,119771,15721,114,Columbia Drive,,3,https://itsmarta.com/114.aspx,FF8040,,Bus,0.133961437565523
369,119772,15752,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,,Bus,0.184349757282279
370,119773,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.11298287682942
371,119774,15698,71,Cascade Road,,3,https://itsmarta.com/71.aspx,FF8080,,Bus,0.123361878239666
372,119775,15782,867,Peyton Forest / Dixie Hills,,3,https://itsmarta.com/867.aspx,00FFFF,,Bus,0.118624948381585
373,95682,15787,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,,"Subway, Metro",0.177076920163794
374,95684,15787,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,,"Subway, Metro",0.0820121143719613
375,95686,15787,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,,"Subway, Metro",0.254861592717215
376,95689,15787,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,,"Subway, Metro",0.0809905684199855
377,95690,15787,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,,"Subway, Metro",0.177291555725171
378,95693,15787,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,,"Subway, Metro",0.255518936819902
379,95703,15788,GOLD,GOLD,,1,https://itsmarta.com/Green-Line.aspx,D4A723,,"Subway, Metro",0.345425392338245
380,95711,15788,GOLD,GOLD,,1,https://itsmarta.com/Green-Line.aspx,D4A723,,"Subway, Metro",0.345425718263584
381,95716,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.0369918340811923
382,95718,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.0742635255053976
383,95719,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.107270011040903
384,95720,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.107270011040903
385,95722,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.0392049755585089
386,95724,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.0742635255053985
387,95725,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.107270011040905
388,95726,15789,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,,"Subway, Metro",0.107270011040905
389,95728,15790,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,,"Subway, Metro",0.149305550716057
390,95735,15790,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,,"Subway, Metro",0.367746900393096
391,95738,15790,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,,"Subway, Metro",0.367471900393108
392,95740,15790,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,,"Subway, Metro",0.151502824966289
393,95743,15790,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,,"Subway, Metro",0.3677469003931
394,95744,15790,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,,"Subway, Metro",0.3677469003931
